Feature,Gini_Importance
original_shape2D_PerimeterSurfaceRatio,0.1472247112543118
original_firstorder_Kurtosis,0.0763158675979887
original_shape2D_Sphericity,0.0712793933582859
original_gldm_DependenceNonUniformityNormalized,0.0657587886786866
original_gldm_SmallDependenceLowGrayLevelEmphasis,0.0619709288498233
original_glrlm_LongRunEmphasis,0.0579104932910771
original_firstorder_RootMeanSquared,0.0457745243721273
original_firstorder_10Percentile,0.0348873655851709
original_firstorder_Maximum,0.0339819164815074
original_firstorder_Energy,0.0335639153543774
original_firstorder_Minimum,0.0323021312914374
original_firstorder_90Percentile,0.031102362235114
original_ngtdm_Contrast,0.0296931178746937
original_shape2D_Elongation,0.028572009994483
original_glrlm_RunEntropy,0.026494465945265
original_firstorder_Skewness,0.0264811199359364
original_shape2D_MinorAxisLength,0.0262627366199993
original_glrlm_RunLengthNonUniformityNormalized,0.0238818989880508
original_firstorder_InterquartileRange,0.0238622010642686
original_shape2D_MeshSurface,0.0221831911774004
original_firstorder_MeanAbsoluteDeviation,0.0213882754267826
original_gldm_SmallDependenceHighGrayLevelEmphasis,0.0205023207911543
original_shape2D_Perimeter,0.0204678660264678
original_gldm_DependenceVariance,0.0191324040660643
original_shape2D_MajorAxisLength,0.0190059937395252
